pair_id,architecture,add_marker,gt_x,gt_y,pred_x,pred_y,dx,dy,pixel_error,ncc_score,ambiguity_ratio,confidence,time_sec
0,dram,False,937.0,605.6,562,471,-375.0,-134.60000000000002,398.42459763423244,0.9158816337585449,0.9997044647639981,LOW,2.7756590843200684
1,finfet,False,581.0,226.9,665,542,84.0,315.1,326.10429313334714,0.9343757033348083,0.9998856998159524,LOW,2.6520063877105713
2,dram,True,466.6,325.1,467,325,0.39999999999997726,-0.10000000000002274,0.4123105625617495,0.921728789806366,0.9881921564755091,HIGH,2.567094326019287
3,finfet,True,685.4,361.4,686,362,0.6000000000000227,0.6000000000000227,0.8485281374238892,0.8571819067001343,0.9874628732131268,HIGH,2.5574793815612793
4,dram,True,758.9,750.0,759,750,0.10000000000002274,0.0,0.10000000000002274,0.9482323527336121,0.9859109157826168,HIGH,2.5578982830047607
5,finfet,True,268.7,390.5,269,391,0.30000000000001137,0.5,0.5830951894845359,0.8929998278617859,0.9871940096853228,HIGH,2.6247870922088623
6,dram,True,907.7,235.9,908,236,0.2999999999999545,0.09999999999999432,0.316227766016793,0.9202936291694641,0.984051647785471,HIGH,2.526867389678955
7,finfet,True,589.4,398.6,589,399,-0.39999999999997726,0.39999999999997726,0.5656854249492059,0.8623902201652527,0.9900314524504844,HIGH,2.4669113159179688
8,dram,True,351.8,88.9,352,89,0.19999999999998863,0.09999999999999432,0.22360679774996628,0.9231039881706238,0.9871221980336558,HIGH,2.6626477241516113
9,finfet,True,592.1,287.7,592,288,-0.10000000000002274,0.30000000000001137,0.3162277660168559,0.9339966177940369,0.983585306393553,HIGH,2.4252636432647705
10,dram,True,799.3,308.2,799,308,-0.2999999999999545,-0.19999999999998863,0.36055512754635477,0.8726091980934143,0.9862593821168688,HIGH,2.2277770042419434
11,finfet,True,646.1,564.1,646,564,-0.10000000000002274,-0.10000000000002274,0.14142135623734164,0.9074104428291321,0.9847303117922892,HIGH,2.2320547103881836
12,dram,False,559.4,442.5,365,653,-194.39999999999998,210.5,286.53378509348596,0.8831486105918884,0.9999439362992223,LOW,2.2211101055145264
13,finfet,False,946.7,919.8,503,555,-443.70000000000005,-364.79999999999995,574.4116381132959,0.8971948623657227,0.99981889969674,LOW,2.5110538005828857
14,dram,True,637.8,608.8,638,609,0.20000000000004547,0.20000000000004547,0.2828427124746833,0.9343077540397644,0.9838354922905352,HIGH,2.3927361965179443
15,finfet,True,337.1,76.4,337,76,-0.10000000000002274,-0.4000000000000057,0.41231056256177706,0.9413431882858276,0.982788959089649,HIGH,1.9068629741668701
16,dram,True,523.9,929.0,524,929,0.10000000000002274,0.0,0.10000000000002274,0.9209973812103271,0.9776578375606371,HIGH,1.868680477142334
17,finfet,True,758.6,876.0,759,876,0.39999999999997726,0.0,0.39999999999997726,0.8908544778823853,0.9863396087449948,HIGH,2.3711915016174316
18,dram,True,540.0,332.2,540,332,0.0,-0.19999999999998863,0.19999999999998863,0.8796111345291138,0.9834770643606818,HIGH,2.346989154815674
19,finfet,True,716.7,113.3,717,113,0.2999999999999545,-0.29999999999999716,0.42426406871189437,0.8911836743354797,0.9852764065552666,HIGH,2.189631462097168
20,dram,True,278.7,533.7,279,534,0.30000000000001137,0.2999999999999545,0.4242640687119044,0.907930314540863,0.983690904401189,HIGH,2.343445301055908
21,finfet,True,379.4,658.6,379,659,-0.39999999999997726,0.39999999999997726,0.5656854249492059,0.8792877197265625,0.9858491052060737,HIGH,2.296074151992798
22,dram,True,881.5,903.7,882,904,0.5,0.2999999999999545,0.5830951894845067,0.9033775329589844,0.9897563103055127,HIGH,1.8348972797393799
23,finfet,True,929.7,468.6,930,469,0.2999999999999545,0.39999999999997726,0.49999999999995454,0.9143955707550049,0.9858728355078531,HIGH,2.019261121749878
24,dram,False,239.1,354.4,359,609,119.9,254.60000000000002,281.41991756092887,0.9610217213630676,0.9999516250539799,LOW,2.6948134899139404
25,finfet,False,522.6,201.6,415,512,-107.60000000000002,310.4,328.5208060382173,0.8755024671554565,0.99998928102837,LOW,2.0028491020202637
26,dram,True,127.0,494.2,127,494,0.0,-0.19999999999998863,0.19999999999998863,0.9182482957839966,0.9858435703784001,HIGH,2.094851016998291
27,finfet,True,562.1,198.7,562,199,-0.10000000000002274,0.30000000000001137,0.3162277660168559,0.8878608345985413,0.9825726429666606,HIGH,2.129093647003174
28,dram,True,932.5,876.6,933,877,0.5,0.39999999999997726,0.6403124237432707,0.9031463265419006,0.9875081514129787,HIGH,1.9087190628051758
29,finfet,True,481.6,112.7,482,113,0.39999999999997726,0.29999999999999716,0.4999999999999801,0.8941697478294373,0.9847347753541453,HIGH,1.8779613971710205
30,dram,True,147.5,244.6,148,245,0.5,0.4000000000000057,0.6403124237432885,0.9024878740310669,0.9919480142767756,HIGH,1.9405531883239746
31,finfet,True,406.6,127.4,407,128,0.39999999999997726,0.5999999999999943,0.7211102550927805,0.8945550918579102,0.9866087372296002,HIGH,2.076735019683838
32,dram,True,321.3,873.6,322,874,0.6999999999999886,0.39999999999997726,0.8062257748298338,0.8831354379653931,0.9893642610825703,HIGH,2.015206813812256
