pair_id,x,y,theta,scale,found,score
0,507,335,2.0,11.5,1,0.9180079335618069
1,323,915,-3.0,10.0,1,0.878
2,428,590,1.0,11.5,1,0.9210092152162561
3,900,188,-3.0,10.0,1,0.791
4,946,220,-1.0,10.5,1,0.879
5,404,413,2.0,11.0,1,0.9210041399465487
6,524,449,-2.0,11.5,1,0.8660055890553875
7,80,790,2.0,10.5,1,0.909
8,669,503,-1.0,10.5,1,0.914009729811542
9,109,84,4.0,10.5,1,0.824
10,905,418,-3.0,10.5,1,0.853
11,825,213,-2.0,11.0,1,0.811
12,858,725,0.0,11.0,1,0.924
13,936,593,-2.0,8.0,1,0.759
14,339,362,2.0,10.0,1,0.9300049416609472
15,248,497,-3.0,10.5,1,0.869
16,362,93,2.0,8.0,1,0.791
17,584,430,-1.0,8.5,1,0.901004963092362
18,354,169,0.0,9.0,1,0.871
19,187,493,3.0,8.5,1,0.886
20,252,865,-3.0,8.5,1,0.762
21,489,396,-1.0,11.0,1,0.9060050990891516
22,315,100,-4.0,9.5,1,0.841
23,105,501,-2.0,9.5,1,0.87
24,601,105,0.0,10.5,1,0.868
25,908,287,3.0,11.5,1,0.849
26,794,940,-1.0,8.5,1,0.873
27,333,624,0.0,9.5,1,0.8760102944335075
28,887,790,0.0,11.5,1,0.896
29,828,719,2.0,10.5,1,0.88
30,862,153,0.0,10.5,1,0.886
31,555,623,-3.0,10.5,1,0.787012328410594
32,0,0,0.0,0.0,0,0.268
33,767,573,-2.0,10.0,1,0.874
34,368,507,1.0,10.0,1,0.8420062222065173
35,0,0,0.0,0.0,0,0.509
36,580,490,-1.0,11.5,1,0.8430047881141274
37,726,455,-2.0,12.0,1,0.784
38,0,0,0.0,0.0,0,0.385
39,560,840,4.0,9.5,1,0.766
40,630,787,0.0,11.5,1,0.805
41,0,0,0.0,0.0,0,0.478
42,356,652,-1.0,9.5,1,0.8640059179854885
43,875,569,2.0,11.0,1,0.75
44,0,0,0.0,0.0,0,0.264
45,805,746,-2.0,10.0,1,0.893
46,310,390,4.0,8.5,1,0.791
47,0,0,0.0,0.0,0,0.41200000000000003
48,376,681,3.0,9.5,1,0.845
49,742,924,2.0,11.0,1,0.776
50,0,0,0.0,0.0,0,0.42800000000000005
51,202,685,-5.0,11.0,1,0.802
52,460,459,-3.0,10.5,1,0.7600062330658758
53,0,0,0.0,0.0,0,0.41000000000000003
54,167,562,-2.0,11.0,1,0.816
55,571,814,-1.0,8.5,1,0.757
56,0,0,0.0,0.0,0,0.40700000000000003
57,656,257,-4.0,9.0,1,0.841
58,614,404,-1.0,12.0,1,0.7570064048480747
59,0,0,0.0,0.0,0,0.46599999999999997
60,436,931,3.0,11.0,1,0.889
61,149,300,-1.0,11.0,1,0.873
62,266,577,-4.0,8.0,1,0.877
63,482,190,1.0,11.5,1,0.88
64,639,637,1.0,10.5,1,0.9200067334077611
65,346,565,-5.0,11.0,1,0.8600091517461192
66,886,470,-3.0,12.0,1,0.885
67,583,331,-1.0,8.5,1,0.9120072245377411
68,933,730,-2.0,9.0,1,0.845
69,377,873,-4.0,11.0,1,0.858
70,456,891,4.0,11.0,1,0.781
71,619,408,4.0,9.0,1,0.8940060441040512
72,451,426,5.0,11.5,1,0.8670095629495914
73,713,396,-3.0,8.5,1,0.927
74,448,321,1.0,11.5,1,0.828
75,243,418,-3.0,11.5,1,0.807
76,863,873,0.0,11.5,1,0.885
77,189,482,-1.0,10.0,1,0.942
78,349,681,3.0,11.5,1,0.857
79,101,381,5.0,9.0,1,0.894
