pair_id,x,y,theta,scale,found,score
0,507,335,2.0,11.5,1,0.010415256023406982
1,323,915,-3.0,10.0,1,0.00024574995040893555
2,428,590,1.0,11.5,1,0.012972772121429443
3,900,188,-3.0,10.0,1,0.007354140281677246
4,946,220,-1.0,10.5,1,0.015222907066345215
5,404,413,2.0,11.0,1,0.0036893486976623535
6,524,449,-2.0,11.5,1,0.0005502104759216309
7,80,790,2.0,10.5,1,0.01664555072784424
8,0,0,0.0,0.0,0,0.9998852610588074
9,109,84,4.0,10.5,1,0.006416916847229004
10,905,418,-3.0,10.5,1,0.00536954402923584
11,0,0,0.0,0.0,0,0.9999679923057556
12,858,725,0.0,11.0,1,0.002987504005432129
13,936,593,-2.0,8.0,1,0.006456494331359863
14,339,362,2.0,10.0,1,0.000563502311706543
15,248,497,-3.0,10.5,1,0.012882709503173828
16,362,93,2.0,8.0,1,0.0036169886589050293
17,0,0,0.0,0.0,0,0.9999991655349731
18,354,169,0.0,9.0,1,0.0007184743881225586
19,187,493,3.0,8.5,1,0.01359856128692627
20,252,865,-3.0,8.5,1,0.006736695766448975
21,489,396,-1.0,11.0,1,0.00020873546600341797
22,315,100,-4.0,9.5,1,0.011098861694335938
23,105,501,-2.0,9.5,1,0.010341763496398926
24,601,105,0.0,10.5,1,0.007307767868041992
25,908,287,3.0,11.5,1,0.0003695487976074219
26,794,940,-1.0,8.5,1,0.0008614063262939453
27,333,624,0.0,9.5,1,0.0012375116348266602
28,887,790,0.0,11.5,1,0.01141667366027832
29,828,719,2.0,10.5,1,0.0008713603019714355
30,862,153,0.0,10.5,1,0.0002891421318054199
31,555,623,-3.0,10.5,1,0.002115309238433838
32,137,443,0.0,8.0,1,0.0006586909294128418
33,767,573,-2.0,10.0,1,0.0008727312088012695
34,368,507,1.0,10.0,1,0.007559537887573242
35,940,213,-5.0,11.5,1,0.00615614652633667
36,580,490,-1.0,11.5,1,0.007118582725524902
37,726,455,-2.0,12.0,1,0.0023012757301330566
38,0,0,0.0,0.0,0,0.9999444484710693
39,0,0,0.0,0.0,0,0.9999761581420898
40,630,787,0.0,11.5,1,0.0007360577583312988
41,388,159,-1.0,12.0,1,0.00041812658309936523
42,356,652,-1.0,9.5,1,0.0006650090217590332
43,875,569,2.0,11.0,1,0.0011299848556518555
44,252,280,1.0,8.0,1,0.0014365315437316895
45,805,746,-2.0,10.0,1,0.00039637088775634766
46,310,390,4.0,8.5,1,0.002087533473968506
47,809,206,1.0,10.0,1,0.0007239580154418945
48,376,681,3.0,9.5,1,0.001967012882232666
49,742,924,2.0,11.0,1,0.0015687346458435059
50,0,0,0.0,0.0,0,0.9998359680175781
51,202,685,-5.0,11.0,1,0.0006359219551086426
52,460,459,-3.0,10.5,1,0.0008307099342346191
53,105,132,1.0,9.5,1,0.002977132797241211
54,167,562,-2.0,11.0,1,0.0009714961051940918
55,0,0,0.0,0.0,0,0.9998289346694946
56,781,596,-4.0,11.0,1,0.00039321184158325195
57,656,257,-4.0,9.0,1,0.012474358081817627
58,614,404,-1.0,12.0,1,0.0008645057678222656
59,263,256,-1.0,11.0,1,0.00040781497955322266
60,436,931,3.0,11.0,1,0.00020176172256469727
61,149,300,-1.0,11.0,1,0.0027991533279418945
62,266,577,-4.0,8.0,1,0.00033080577850341797
63,482,190,1.0,11.5,1,0.00028502941131591797
64,0,0,0.0,0.0,0,0.9999973177909851
65,346,565,-5.0,11.0,1,0.00027930736541748047
66,886,470,-3.0,12.0,1,0.0006244778633117676
67,0,0,0.0,0.0,0,0.9999926686286926
68,933,730,-2.0,9.0,1,0.00021439790725708008
69,377,873,-4.0,11.0,1,0.0007138848304748535
70,456,891,4.0,11.0,1,0.001238107681274414
71,0,0,0.0,0.0,0,0.9998747706413269
72,451,426,5.0,11.5,1,0.00035113096237182617
73,0,0,0.0,0.0,0,0.9999297261238098
74,448,321,1.0,11.5,1,0.001377403736114502
75,0,0,0.0,0.0,0,0.9999969005584717
76,863,873,0.0,11.5,1,0.00037723779678344727
77,0,0,0.0,0.0,0,0.9999080300331116
78,0,0,0.0,0.0,0,0.9999655485153198
79,101,381,5.0,9.0,1,0.0007044076919555664
