pair_id,category,raw_ncc_score,best_minus_median
0,present_nominal,0.917748,0.012028
1,present_nominal,0.877244,0.001177
2,present_nominal,0.921074,0.013728
3,present_nominal,0.788046,0.011666
4,present_nominal,0.878874,0.016397
5,present_nominal,0.921416,0.004264
6,present_nominal,0.865740,0.001932
7,present_nominal,0.908705,0.017819
8,present_nominal,0.913714,0.001194
9,present_nominal,0.824173,0.007863
10,present_nominal,0.853468,0.008082
11,present_nominal,0.810672,0.001743
12,present_nominal,0.920074,0.003962
13,present_nominal,0.756443,0.008834
14,present_nominal,0.929153,0.001038
15,present_nominal,0.868821,0.013715
16,present_nominal,0.786927,0.005160
17,present_nominal,0.901191,0.000507
18,present_nominal,0.869707,0.002058
19,present_nominal,0.885534,0.015395
20,present_nominal,0.761612,0.007516
21,present_nominal,0.905763,0.000794
22,present_nominal,0.841192,0.012748
23,present_nominal,0.869738,0.011360
24,present_nominal,0.868065,0.009521
25,present_nominal,0.848302,0.001087
26,present_nominal,0.870992,0.002312
27,present_nominal,0.874153,0.004384
28,present_nominal,0.896346,0.012384
29,present_nominal,0.879916,0.001476
30,present_degraded,0.885868,0.001023
31,present_degraded,0.787104,0.004800
32,present_degraded,0.730646,0.002033
33,present_degraded,0.873524,0.001703
34,present_degraded,0.842202,0.008891
35,present_degraded,0.490748,0.010960
36,present_degraded,0.843257,0.007978
37,present_degraded,0.783942,0.004377
38,present_degraded,0.613214,0.005327
39,present_degraded,0.765117,0.001974
40,present_degraded,0.803915,0.002529
41,present_degraded,0.519970,0.003516
42,present_degraded,0.863486,0.001633
43,present_degraded,0.747275,0.003245
44,present_degraded,0.733695,0.004165
45,present_degraded,0.892488,0.001382
46,present_degraded,0.787624,0.003743
47,present_degraded,0.583956,0.004376
48,present_degraded,0.843547,0.003353
49,present_degraded,0.773204,0.004040
50,present_degraded,0.568875,0.004607
51,present_degraded,0.800309,0.002848
52,present_degraded,0.756687,0.004543
53,present_degraded,0.586360,0.007530
54,present_degraded,0.815235,0.001707
55,present_degraded,0.755703,0.001399
56,present_degraded,0.591329,0.003881
57,present_degraded,0.840738,0.013924
58,present_degraded,0.757299,0.003319
59,present_degraded,0.529777,0.005082
60,absent,0.888429,0.000629
61,absent,0.870090,0.004647
62,absent,0.876591,0.001006
63,absent,0.879389,0.000804
64,absent,0.920346,0.000509
65,absent,0.859063,0.000932
66,absent,0.883849,0.002021
67,absent,0.911633,0.003423
68,absent,0.844288,0.001235
69,absent,0.856331,0.001967
70,absent,0.779407,0.001929
71,absent,0.894118,0.000769
72,absent,0.866602,0.001684
73,absent,0.926735,0.000495
74,absent,0.824869,0.003876
75,absent,0.807348,0.001150
76,absent,0.883300,0.002065
77,absent,0.941956,0.000271
78,absent,0.857345,0.001058
79,absent,0.892771,0.002956
